ActivityNumber;Username;SSN;Fullname;MobilePhone;Activity start Date;Activity End Date;Initial password;Given name;Surname;Address;Postal code;City;IDFromAdministrativeSystem;MobilePhone;Email;Classes
vi19iisa220;stud1;123456-0001;Donna Montoya;55511111;03-02-2020;19-06-2020;8kjAXWRLQT;Donna;Montoya;Prinsens alle 2, 1234;8800;Viborg;51234;55511111;stud1@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud2;123456-0002;Kingston Patton;55511112;03-02-2020;19-06-2020;hHgAar8aJY;Kingston;Patton;Prinsens alle 2, 1235;8800;Viborg;51235;55511112;stud2@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud3;123456-0003;Noelle Fitzpatrick;55511113;03-02-2020;19-06-2020;wmWDCW5CxE;Noelle;Fitzpatrick;Prinsens alle 2, 1236;8800;Viborg;51236;55511113;stud3@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud4;123456-0004;Landen Medina;55511114;03-02-2020;19-06-2020;HCU5NUjvuB;Landen;Medina;Prinsens alle 2, 1237;8800;Viborg;51237;55511114;stud4@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud5;123456-0005;Cayden Small;55511115;03-02-2020;19-06-2020;rSj99ULAHE;Cayden;Small;Prinsens alle 2, 1238;8800;Viborg;51238;55511115;stud5@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud6;123456-0006;Darnell Hurst;55511116;03-02-2020;19-06-2020;7NAzKpLpCK;Darnell;Hurst;Prinsens alle 2, 1239;8800;Viborg;51239;55511116;stud6@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud7;123456-0007;Milton Foley;55511117;03-02-2020;19-06-2020;nJ2gsP6Bxv;Milton;Foley;Prinsens alle 2, 1240;8800;Viborg;51240;55511117;stud7@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud8;123456-0008;Colten Trevino;55511118;03-02-2020;19-06-2020;RGKtXYG2CG;Colten;Trevino;Prinsens alle 2, 1241;8881;Thors�;51241;55511118;stud8@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud9;123456-0009;Alexandria Charles;55511119;03-02-2020;19-06-2020;hb8YWdGex4;Alexandria;Charles;Prinsens alle 2, 1242;8800;Viborg;51242;55511119;stud9@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud10;123456-0010;Thomas Neal;55511120;03-02-2020;19-06-2020;tSWbv9dk6H;Thomas;Neal;Prinsens alle 2, 1243;8800;Viborg;51243;55511120;stud10@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud11;123456-0011;Aleah Lawson;55511121;03-02-2020;19-06-2020;82q88NJQCN;Aleah;Lawson;Prinsens alle 2, 1244;8800;Viborg;51244;55511121;stud11@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud12;123456-0012;Kaydence Ramos;55511122;03-02-2020;19-06-2020;tpGGF4A8Xa;Kaydence;Ramos;Prinsens alle 2, 1245;8800;Viborg;51245;55511122;stud12@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud13;123456-0013;Amari Pollard;55511123;03-02-2020;19-06-2020;56FRaD4z7w;Amari;Pollard;Prinsens alle 2, 1246;8800;Viborg;51246;55511123;stud13@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud14;123456-0014;Phoenix Dickson;55511124;03-02-2020;19-06-2020;qfUTYu6RfM;Phoenix;Dickson;Prinsens alle 2, 1247;8800;Viborg;51247;55511124;stud14@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
